city,date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,pollution
Ahmedabad,31-03-2022,5,1081.47,0.99,40.78,16.45,24.08,61.34,99.76,16.97,1341.84
Ahmedabad,01-04-2022,5,660.9,0,23.65,51.5,15.74,61.45,138.09,10.64,961.97
Ahmedabad,02-04-2022,5,520.71,0,16.11,81.54,15.5,75.67,131.11,7.79,848.43
Ahmedabad,03-04-2022,5,480.65,0,13.88,45.06,11.32,83.77,146.3,9.37,790.35
Ahmedabad,04-04-2022,5,2616.88,29.5,65.12,0,63.9,151.42,208.66,47.62,3183.1
Ahmedabad,05-04-2022,5,1588.82,10.51,58.26,0.49,38.15,86.16,116.62,23.05,1922.06
Ahmedabad,06-04-2022,4,574.11,0,18.34,65.8,14.31,40.79,54.83,11.53,779.71
Ahmedabad,07-04-2022,4,774.38,0,29.82,39.34,21.46,39.11,57.5,15.71,977.32
Ahmedabad,08-04-2022,5,1842.5,26.38,49.35,0.01,46.73,92.61,123.07,35.97,2216.62
Ahmedabad,09-04-2022,4,423.91,0,11.14,77.96,10.49,32.5,54.75,6.59,617.34
Ahmedabad,10-04-2022,4,814.44,0.45,30.5,20.38,19.55,42.14,57.14,13.68,998.28
Ahmedabad,11-04-2022,4,403.88,0,10.37,51.5,12.52,34.16,58.06,6.52,577.01
Ahmedabad,12-04-2022,5,594.14,0,18.34,58.65,15.74,58.69,99.52,10.89,855.97
Ahmedabad,13-04-2022,5,627.52,0,23.31,53.64,18.12,55.28,101.97,10.26,890.1
Ahmedabad,14-04-2022,5,587.46,0,20.39,58.65,15.5,55.43,109.5,8.61,855.54
Ahmedabad,15-04-2022,4,614.17,0,21.76,52.93,16.93,49.94,84.37,10.39,850.49
Ahmedabad,16-04-2022,5,540.73,0,17.65,35.05,12.28,50.61,95.17,9.75,761.24
Ahmedabad,17-04-2022,4,377.18,0,10.71,52.21,8.23,40.71,84.67,7.16,580.87
Ahmedabad,18-04-2022,4,380.52,0,10.37,56.51,9.18,40.32,80.6,6.97,584.47
Ahmedabad,19-04-2022,4,594.14,0,21.08,49.35,13.59,41.21,70.34,10.01,799.72
Ahmedabad,20-04-2022,5,1201.63,2.74,45.93,9.57,29.33,65.62,100,16.72,1471.54
Ahmedabad,21-04-2022,4,487.33,0,16.45,87.98,15.74,35.74,43.64,7.79,694.67
Ahmedabad,22-04-2022,5,847.82,0.01,32.56,25.75,24.8,52.53,102.17,16.21,1101.85
Ahmedabad,23-04-2022,5,1308.44,10.28,47.98,3.53,31.47,61.87,108.29,19.76,1591.62
Ahmedabad,24-04-2022,4,647.54,0,23.31,33.97,16.93,30.87,67.25,12.92,832.79
Ahmedabad,25-04-2022,5,1735.69,14.31,40.78,0.11,44.82,80.25,114.3,24.57,2054.83
Ahmedabad,26-04-2022,4,380.52,0,10.02,72.96,10.85,24.68,65.75,6.71,571.49
Ahmedabad,27-04-2022,5,1375.2,9.28,39.07,0.46,35.76,67.31,107.38,22.8,1657.26
Ahmedabad,28-04-2022,4,447.27,0,12.85,70.1,11.8,27.77,51.4,7.92,629.11
Ahmedabad,29-04-2022,5,1214.98,7.26,38.04,0.61,32.42,54.39,80.97,22.29,1450.96
Ahmedabad,30-04-2022,4,343.8,0,8.05,75.1,9.18,32.05,58.02,4.12,530.32
Ahmedabad,01-05-2022,4,390.53,0,10.37,44.7,8.58,32.27,63.25,7.09,556.79
Ahmedabad,02-05-2022,4,350.48,0,9.34,36.48,8.34,32.1,55.83,5.7,498.27
Ahmedabad,03-05-2022,5,554.08,0,17.65,46.49,14.9,44.19,115.41,9.5,802.22
Ahmedabad,04-05-2022,5,534.06,0,15.94,38.27,15.14,40.96,101.24,8.87,754.48
Ahmedabad,05-05-2022,5,494,0,15.42,32.54,13.95,42.25,126.23,9.5,733.89
Ahmedabad,06-05-2022,5,640.87,0,22.62,49.35,15.5,59.85,188.68,8.87,985.74
